post_url,publish_date,engagements,impressions,topics,engagement_rate,day_of_week,month
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-python-bigdata-share-7439307252412334080-puIN,2026-03-16,38,11274,"dataengineering, python, bigdata",0.0033705871917686712,Lunes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_pymc-bayesian-dataengineering-share-7434224083153805313-S-4G,2026-03-02,42,4681,"pymc, bayesian, dataengineering",0.008972441785943175,Lunes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-aws-serverless-share-7440017436210278400-eVQ6,2026-03-18,25,4021,"dataengineering, serverless",0.006217358865953743,Miércoles,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_mlops-dataengineering-pymc-share-7438203400799821824-QS3E,2026-03-13,26,3474,"mlops, dataengineering, pymc",0.007484168105929764,Viernes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_ideas-para-dise%C3%B1o-de-extracci%C3%B3n-en-etl-ugcPost-7411815141576577024-KOs7,2025-12-30,33,3136,"diseño, extracción",0.010522959183673469,Martes,Diciembre
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-aiagents-claudecode-share-7437455236337795072-bKpv,2026-03-11,7,2776,"dataengineering, aiagents, claudecode",0.002521613832853026,Miércoles,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_en-estos-d%C3%ADas-estuve-dedicando-bastante-tiempo-share-7414624171214770176-XVfE,2026-01-07,18,2494,días,0.007217321571772253,Miércoles,Enero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-bigdata-pyspark-ugcPost-7419713425762770945-z-J2,2026-01-21,65,2480,"dataengineering, bigdata, pyspark",0.02620967741935484,Miércoles,Enero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-softwarearchitecture-rag-share-7431688058967756800-G1pu,2026-02-23,31,1990,"dataengineering, softwarearchitecture",0.015577889447236181,Lunes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-webscraping-python-share-7428057476257792000-aAlb,2026-02-13,29,1611,"dataengineering, webscraping, python",0.018001241464928614,Viernes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-aws-buildinpublic-share-7440735093071077377-v3oN,2026-03-20,16,1481,"dataengineering, buildinpublic",0.010803511141120865,Viernes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_estuve-d%C3%A1ndole-vueltas-a-c%C3%B3mo-estructuro-share-7406811061103833088-QuSi,2025-12-16,17,1364,"dándole, vueltas, cómo, estructuro",0.012463343108504398,Martes,Diciembre
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-softwaredesign-aprendizajecontinuo-share-7426599579413831680-gOsn,2026-02-09,10,1279,"dataengineering, softwaredesign, aprendizajecontinuo",0.007818608287724784,Lunes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-aws-fintech-share-7459599433458999296-g4qY,2026-05-11,6,1119,"dataengineering, fintech",0.005361930294906166,Lunes,Mayo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_queries-temporales-postgresql-ugcPost-7411188983130472448-WnGE,2025-12-28,12,1086,"queries, temporales, postgresql",0.011049723756906077,Domingo,Diciembre
https://www.linkedin.com/posts/gerardo-toboso-512a48290_ai-dataengineering-python-share-7449443506047238144-zFZd,2026-04-13,8,1080,"dataengineering, python",0.007407407407407408,Lunes,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_en-el-dise%C3%B1o-de-un-pipeline-de-datos-una-share-7417931892231958528-RpnQ,2026-01-16,29,941,"diseño, pipeline, datos",0.030818278427205102,Viernes,Enero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_se-filtr%C3%B3-o-m%C3%A1s-bien-se-anunci%C3%B3-con-advertencia-share-7447623889779777537-F80V,2026-04-08,5,913,"filtró, bien, anunció, advertencia",0.00547645125958379,Miércoles,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-dbt-analyticsengineering-ugcPost-7424076819638706176-OlgB,2026-02-02,25,903,"dataengineering, analyticsengineering",0.02768549280177187,Lunes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_aws-typescript-serverless-share-7450888691406868480-Zlyj,2026-04-17,4,872,"typescript, serverless",0.0045871559633027525,Viernes,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-softwarearchitecture-pragmaticprogrammer-share-7441827652610703361-hyy0,2026-03-23,7,831,"dataengineering, softwarearchitecture, pragmaticprogrammer",0.00842358604091456,Lunes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_aws-dataengineering-bigdata-share-7450230568086241280-ZMLe,2026-04-15,9,811,"dataengineering, bigdata",0.011097410604192354,Miércoles,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-fintech-softwarearchitecture-share-7461049768962846720-l2yY,2026-05-15,2,809,"dataengineering, fintech, softwarearchitecture",0.002472187886279357,Viernes,Mayo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-webscraping-python-share-7434947968983748608-NL0b,2026-03-04,12,759,"dataengineering, webscraping, python",0.015810276679841896,Miércoles,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_aws-dataengineering-cloudcomputing-share-7457844222604316672-Dnq6,2026-05-06,3,751,"dataengineering, cloudcomputing",0.0039946737683089215,Miércoles,Mayo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-mlops-bayesian-share-7457058178107801601-0zOA,2026-05-04,6,746,"dataengineering, mlops, bayesian",0.00804289544235925,Lunes,Mayo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-bayesian-machinelearning-share-7442554300242837504-YDKI,2026-03-25,2,746,"dataengineering, bayesian, machinelearning",0.002680965147453083,Miércoles,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_espero-pronto-poder-implementar-algo-as%C3%AD-share-7421288645954854913-jo0J,2026-01-25,14,742,"espero, pronto, poder, implementar, algo",0.018867924528301886,Domingo,Enero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-terraform-airflow-share-7436757665978064896-_mgk,2026-03-09,20,712,"dataengineering, terraform, airflow",0.028089887640449437,Lunes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-datamesh-dataarchitecture-share-7429140017576460288-lAtz,2026-02-16,4,683,"dataengineering, datamesh, dataarchitecture",0.005856515373352855,Lunes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_softwareengineering-dataengineering-cleancode-share-7443286747938979840-hz7P,2026-03-27,7,660,"softwareengineering, dataengineering, cleancode",0.010606060606060607,Viernes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_github-gerardo1909iot-etl-pipeline-pipeline-share-7416604731063746560-gUHD,2026-01-12,14,647,"github, gerardo1909iot, pipeline, pipeline",0.021638330757341576,Lunes,Enero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_esto-me-parece-muy-bueno-siento-que-ataca-share-7424791224739454976-UKik,2026-02-04,11,566,"parece, bueno, siento, ataca",0.019434628975265017,Miércoles,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dbt-dataengineering-analyticsengineering-share-7421883171690102785-R-HE,2026-01-27,15,564,"dataengineering, analyticsengineering",0.026595744680851064,Martes,Enero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataarchitecture-awsfargate-fintechengineering-share-7460313001439535104-TyIB,2026-05-13,7,556,"dataarchitecture, awsfargate, fintechengineering",0.012589928057553957,Miércoles,Mayo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_diploma-ugcPost-7462207400226267136-fcIH,2026-05-18,8,549,diploma,0.014571948998178506,Lunes,Mayo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_aws-fintech-backend-share-7454912043238928384-j-yF,2026-04-28,3,522,"fintech, backend",0.005747126436781609,Martes,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_certificado-dynamo-ugcPost-7467200195919888384-sNWk,2026-06-01,2,468,"certificado, dynamo",0.004273504273504274,Lunes,Junio
https://www.linkedin.com/posts/gerardo-toboso-512a48290_aiagents-causalai-observability-share-7435666276519247873-zFYa,2026-03-06,7,463,"aiagents, causalai, observability",0.01511879049676026,Viernes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-python-generators-share-7425529951585652736-X75I,2026-02-06,8,430,"dataengineering, python, generators",0.018604651162790697,Viernes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_aws-webdevelopment-buildinpublic-share-7452712383774437377-uVK0,2026-04-22,2,424,"webdevelopment, buildinpublic",0.0047169811320754715,Miércoles,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-saas-analyticsengineering-share-7444375352258220033-CfhR,2026-03-30,5,422,"dataengineering, saas, analyticsengineering",0.011848341232227487,Lunes,Marzo
https://www.linkedin.com/posts/gerardo-toboso-512a48290_revisando-un-pipeline-etl-en-el-que-trabaj%C3%A9-share-7410640934222192641-N8rd,2025-12-27,4,421,"revisando, pipeline, trabajé",0.009501187648456057,Sábado,Diciembre
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-softwarearchitecture-systemsdesign-share-7445813254641106944-birS,2026-04-03,6,348,"dataengineering, softwarearchitecture, systemsdesign",0.017241379310344827,Viernes,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_cloudcomputing-aws-serverless-share-7454486890214322176-j70J,2026-04-27,0,330,"cloudcomputing, serverless",0.0,Lunes,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataquality-dataengineering-robustsystems-share-7429594654276395008-MXHN,2026-02-17,1,329,"dataquality, dataengineering, robustsystems",0.00303951367781155,Martes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-analyticsengineering-dbt-share-7445093823204155392-Su-P,2026-04-01,2,308,"dataengineering, analyticsengineering",0.006493506493506494,Miércoles,Abril
https://www.linkedin.com/posts/gerardo-toboso-512a48290_estuve-refactorizando-un-etl-y-me-pas%C3%B3-algo-share-7407762986121211905-uHAb,2025-12-19,1,297,"refactorizando, pasó, algo",0.003367003367003367,Viernes,Diciembre
https://www.linkedin.com/posts/gerardo-toboso-512a48290_dataengineering-datastrategy-strategicthinking-share-7433127667136143360-J3FG,2026-02-27,2,295,"dataengineering, datastrategy, strategicthinking",0.006779661016949152,Viernes,Febrero
https://www.linkedin.com/posts/gerardo-toboso-512a48290_en-este-tiempo-aprendiendo-y-construyendo-share-7419366380212322304-jGvP,2026-01-20,3,294,"aprendiendo, construyendo",0.01020408163265306,Martes,Enero
